Row Labels,Sum of inst_num,Sum of time,Sum of plan_cpu,Average of plan_cpu,Sum of plan_mem,Average of plan_mem
J102_7_101,1,19,100,100,0.59,0.59
J106_7_105,1,23,100,100,0.59,0.59
J11_1,5,158,50,50,0.2,0.2
J11_1_10,1699,4673,1650,78.57142857,9.44,0.44952381
J11_1_10_13_14_15_16_20,3,71,50,50,0.2,0.2
J11_1_2,13,77,100,100,0.49,0.49
J11_1_2_10,1,21,100,100,0.59,0.59
J11_1_2_3_10,140,323,100,50,0.78,0.39
J11_1_2_3_4_5_10,11,317,50,50,0.39,0.39
J11_1_2_3_4_5_6_7_10,17,403,50,50,0.3,0.3
J11_1_2_3_4_5_6_7_8_9_10,232,523,150,75,0.74,0.37
J11_1_2_3_4_5_8_9_10,1,33,50,50,0.2,0.2
J11_1_2_3_4_6_8_9_10,261,709,50,50,0.39,0.39
J11_1_2_3_8_9_10,149,200,50,50,0.39,0.39
J11_1_2_4_10,538,55,600,100,3.44,0.573333333
J11_1_2_6_10,2222,539,200,100,1.18,0.59
J11_1_3_10,3,26,50,50,0.2,0.2
J11_1_3_4_5_10,23,98,100,100,0.59,0.59
J11_1_3_4_5_6_8_9_10,21,8,100,100,0.49,0.49
J11_1_3_5_8_10,293,1027,50,50,0.39,0.39
J11_1_4_10,7,8,100,100,0.54,0.54
J11_1_5_10,93,134,100,100,0.59,0.59
J11_1_5_7_10,1,334,50,50,0.2,0.2
J11_1_6_10,13,523,50,50,0.39,0.39
J11_1_6_8_10,7,10,100,100,0.59,0.59
J11_1_7_8_10,23,3,100,100,0.49,0.49
J11_1_7_9_10,897,76,300,100,1.77,0.59
J11_1_8_10,10,404,200,50,0.99,0.2475
J11_1_9_10,7,3,100,100,0.59,0.59
J11_10,5,229,300,60,1.24,0.248
J11_10_13,6,566,100,50,0.69,0.345
J11_10_14_17,665,176,300,100,1.77,0.59
J11_10_17,1,46,50,50,0.3,0.3
J11_10_18,3,8,100,100,0.59,0.59
J11_15_16,3,275,50,50,0.3,0.3
J11_2_10,319,1162,400,80,2.26,0.452
J11_2_10_14,2,223,150,75,0.79,0.395
J11_2_3_10,192,148,150,75,0.79,0.395
J11_2_3_5_6_7_8_10,7,7,100,100,0.59,0.59
J11_2_4_10,156,20,200,100,1.18,0.59
J11_2_4_6_10,173,33,100,100,0.49,0.49
J11_2_4_6_8_9_10,1286,579,800,100,4.32,0.54
J11_2_4_6_9_10,15,20,250,83.33333333,1.18,0.393333333
J11_2_4_7_10,464,1116,300,75,1.48,0.37
J11_2_4_9_10,3,1890,50,50,0.3,0.3
J11_2_5_10,4,36,200,100,0.98,0.49
J11_2_5_7_8_9_10,7,6,100,100,0.59,0.59
