Row Labels,Sum of inst_num,Sum of time,Sum of plan_cpu,Average of plan_cpu,Sum of plan_mem,Average of plan_mem
R10_5,9,642,550,78.57142857,2.45,0.35
R10_5_6_7_9,30,68,300,100,1.47,0.49
R10_5_9,9,234,200,66.66666667,0.89,0.296666667
R10_6,63,1207,350,70,1.57,0.314
R10_6_9,36,28,200,100,0.98,0.49
R10_7,12,349,300,75,1.18,0.295
R10_7_9,6,28,150,75,0.69,0.345
R10_8,15,9,100,100,0.39,0.39
R10_8_9,78,41,150,75,0.69,0.345
R10_9,13582,67000,55950,79.02542373,251.04,0.354576271
R101_100,1,6,100,100,0.49,0.49
R103_102,1,5,100,100,0.39,0.39
R105_104,1,4,100,100,0.49,0.49
R107_106,1,6,100,100,0.39,0.39
R109_108,1,6,100,100,0.49,0.49
R11_1,50,956,1400,70,5.91,0.2955
R11_1_2_3_4_5_6_7_8_9_10,334,125,150,75,0.69,0.345
R11_1_2_3_5_9_10,9,14,100,100,0.39,0.39
R11_1_2_4_5_6_10,3,51,50,50,0.2,0.2
R11_10,16309,49740,45700,79.34027778,207.08,0.359513889
R11_12,10,146,450,75,2.17,0.361666667
R11_13,35,228,550,68.75,2.47,0.30875
R11_14,6,728,250,62.5,1.09,0.2725
R11_15,35,20,200,100,0.98,0.49
R11_16,2,7,200,100,0.88,0.44
R11_17,1,5,100,100,0.49,0.49
R11_18,3,287,250,83.33333333,1.08,0.36
R11_19,3,45,300,100,1.27,0.423333333
R11_2,1,8,50,50,0.2,0.2
R11_2_3_5_10,4,666,200,50,0.8,0.2
R11_2_4_6_7_8_10,1,39,100,100,0.49,0.49
R11_2_6_8_10,373,17,100,100,0.49,0.49
R11_20,1,54,50,50,0.2,0.2
R11_24,8,693,650,81.25,3.05,0.38125
R11_25,3,219,150,50,0.6,0.2
R11_29,2,803,100,50,0.6,0.3
R11_3,124,235,550,91.66666667,2.35,0.391666667
R11_3_10,3,29,100,100,0.49,0.49
R11_3_7_10,1,3455,50,50,0.2,0.2
R11_30,1,2,50,50,0.2,0.2
R11_34,1,25,50,50,0.2,0.2
R11_4,160,549,250,62.5,1.09,0.2725
R11_4_6_8_10,1,42,50,50,0.2,0.2
R11_43,2,22,150,75,0.59,0.295
R11_47,3,47,300,100,1.47,0.49
R11_5,43,1253,600,66.66666667,2.56,0.284444444
R11_5_10,201,31,100,100,0.39,0.39
R11_50,1,9,50,50,0.2,0.2
R11_6,30,1065,350,87.5,1.66,0.415
R11_6_10,3,526,50,50,0.3,0.3
R11_6_7_9_10,1,9,100,100,0.39,0.39
R11_7,149,614,350,70,1.48,0.296
R11_7_10,19,463,850,77.27272727,3.34,0.303636364
R11_8_10,8,274,400,66.66666667,1.78,0.296666667
R11_9,164,175,350,87.5,1.47,0.3675
R11_9_10,27,266,300,75,1.38,0.345
R111_110,1,372,100,100,0.39,0.39
R113_112,1,5,100,100,0.49,0.49
R115_114,1,6,100,100,0.39,0.39
R117_116,1,4,100,100,0.49,0.49
R119_118,1,5,100,100,0.39,0.39
R12_1,430,1965,1650,63.46153846,7.73,0.297307692
R12_10,1,41,50,50,0.2,0.2
R12_11,16110,51965,37650,79.76694915,168.78,0.357584746
R12_13,177,151,200,50,0.99,0.2475
R12_14,8,215,450,75,2.17,0.361666667
R12_15,11,432,250,83.33333333,1.18,0.393333333
R12_16,3,168,250,83.33333333,0.98,0.326666667
R12_17,3,28,150,50,0.6,0.2
R12_18,3,400,200,66.66666667,0.89,0.296666667
R12_19,19,225,250,83.33333333,1.18,0.393333333
R12_2,1,8,50,50,0.2,0.2
R12_2_11,1,343,50,50,0.2,0.2
R12_2_4_6_8_11,1,693,50,50,0.2,0.2
R12_2_6_11,3,15,100,100,0.49,0.49
R12_21,169,2813,1000,66.66666667,6.1,0.406666667
R12_22,8,24,200,100,0.98,0.49
R12_25,1,181,50,50,0.2,0.2
R12_27,61,86,200,100,0.98,0.49
R12_28,46,19,200,100,0.98,0.49
R12_29,2,799,100,50,0.6,0.3
R12_3,149,363,400,80,1.77,0.354
R12_3_4,2,204,100,50,0.4,0.2
R12_3_5,5,109,100,100,0.49,0.49
R12_3_6_11,15,2,100,100,0.39,0.39
R12_30,1,2,50,50,0.2,0.2
R12_33_34,3,20,300,100,1.47,0.49
R12_4,52,1321,100,50,0.59,0.295
R12_4_11,257,252,50,50,0.39,0.39
R12_4_8_11,18,8,200,100,0.98,0.49
R12_45,1112,148,150,75,0.69,0.345
R12_5,42,490,450,75,1.77,0.295
R12_6,258,899,400,80,1.76,0.352
R12_6_8_11,1,87,50,50,0.2,0.2
R12_7,11,1338,300,60,1.19,0.238
R12_7_11,263,51,100,100,0.49,0.49
R12_7_8_11,28,57,100,100,0.39,0.39
R12_9,108,571,150,75,0.89,0.445
R12_9_11_13,2,211,150,75,0.69,0.345
R121_120,1,5,100,100,0.49,0.49
R123_122,1,6,100,100,0.39,0.39
R125_124,1,4,100,100,0.49,0.49
R127_126,1,7,100,100,0.39,0.39
R13_1,39,1114,950,63.33333333,3.76,0.250666667
R13_1_2_3_4_5_6_7_8_9_10_11_12,20,160,250,62.5,1.09,0.2725
R13_1_2_3_4_5_6_7_8_9_10_12,1,2503,50,50,0.2,0.2
R13_10_12,2259,349,600,75,2.76,0.345
R13_11,1,13,100,100,0.59,0.59
R13_11_12,3,1,100,100,0.49,0.49
R13_12,9418,41669,32150,79.57920792,148.06,0.366485149
R13_14,6,495,250,62.5,1.19,0.2975
R13_15,3,315,50,50,0.39,0.39
R13_16,3,173,200,66.66666667,0.79,0.263333333
R13_17,838,213,500,71.42857143,2.37,0.338571429
R13_17_23,10,2410,500,50,2,0.2
R13_18,6,81,400,66.66666667,1.63,0.271666667
R13_19,233,310,850,85,4.23,0.423
R13_2,4,40,100,50,0.4,0.2
R13_2_12,1,50,100,100,0.49,0.49
R13_20,1,22,50,50,0.2,0.2
R13_21,76,32,400,100,1.96,0.49
R13_23,5,28,500,100,1.95,0.39
R13_3,80,76,550,91.66666667,2.55,0.425
R13_3_6_12,1,37,100,100,0.39,0.39
R13_3_6_9_12,1,3,50,50,0.2,0.2
R13_4,5,640,150,50,0.6,0.2
R13_4_8_10_12,99,35,100,100,0.39,0.39
R13_47,3,31,300,100,1.47,0.49
R13_5,43,1226,500,71.42857143,1.97,0.281428571
R13_50,1,9,50,50,0.2,0.2
R13_6,1,16,100,100,0.39,0.39
R13_6_7_12,7,11,100,100,0.49,0.49
R13_7_12,1,2,50,50,0.2,0.2
R13_8,5,19,500,100,2.45,0.49
R13_8_10_12,1,57,100,100,0.49,0.49
R14_1,1532,2076,1400,70,6.21,0.3105
R14_1_2_3_4_5_6_7_8_9_10_11_13,1,46,100,100,0.39,0.39
R14_1_3_13,17,61,100,100,0.39,0.39
R14_1_3_6_13,282,26,200,100,0.98,0.49
R14_10,3,80,50,50,0.2,0.2
R14_11,3,231,50,50,0.39,0.39
R14_11_13,25,6,100,100,0.49,0.49
R14_12,1,7,100,100,0.59,0.59
R14_13,8700,26680,29650,80.35230352,135.62,0.367533875
R14_15,318,1193,900,90,4.32,0.432
R14_16,62,332,400,66.66666667,1.87,0.311666667
R14_17,70,61,350,87.5,1.67,0.4175
R14_18,6,277,400,66.66666667,1.63,0.271666667
R14_19,2,370,150,75,0.89,0.445
R14_2,1,8,50,50,0.2,0.2
R14_2_3_5_9_10_13,12,202,400,50,1.6,0.2
R14_20,1,58,50,50,0.2,0.2
R14_21,1281,3073,1200,63.15789474,6.8,0.357894737
R14_24,18,25,200,100,0.98,0.49
R14_25,2,35,100,50,0.4,0.2
R14_3,163,360,450,90,1.76,0.352
R14_3_4_5_6_7_8_9_10_11_13,1,3,100,100,0.39,0.39
R14_30,1,2,50,50,0.2,0.2
R14_4,4,234,100,50,0.4,0.2
R14_40,1112,194,150,75,0.69,0.345
R14_45,1,22,100,100,0.39,0.39
R14_5,38,163,350,87.5,1.37,0.3425
R14_5_12_13,71,51,100,100,0.49,0.49
R14_5_6,2,85,100,50,0.4,0.2
R14_5_6_13,1,185,50,50,0.2,0.2
R14_6,2,103,150,75,0.59,0.295
R14_6_13,606,300,350,87.5,1.77,0.4425
R14_7,12,813,250,62.5,0.99,0.2475
R14_7_13,17,16,100,100,0.49,0.49
R14_8,2,958,100,50,0.78,0.39
R14_8_13,5,245,50,50,0.39,0.39
R14_9,197,691,200,66.66666667,0.89,0.296666667
R14_9_10_11_12_13,1,71,50,50,0.2,0.2
R15_1,38,1064,950,67.85714286,3.6,0.257142857
R15_1_2_3_14,21,21,100,100,0.49,0.49
R15_1_6_8_14,39,54,100,100,0.49,0.49
R15_10,2,16,100,50,0.4,0.2
R15_11,5,2,50,50,0.2,0.2
R15_12,2,11,200,100,0.98,0.49
R15_13,2,43,100,50,0.4,0.2
R15_13_14,1,342,50,50,0.3,0.3
R15_14,8060,27894,25950,80.34055728,121.82,0.377151703
R15_16,4,23,350,87.5,1.57,0.3925
R15_17,6,280,300,50,1.2,0.2
R15_18,4,412,300,75,1.28,0.32
R15_19,18,60,200,100,0.98,0.49
R15_2,1,8,50,50,0.2,0.2
R15_2_3_4_5_6_7_8_9_10_11_12_13_14,160,318,200,100,0.98,0.49
R15_2_3_5_6_8_9_11_12_14,3,690,150,50,0.6,0.2
R15_20,23,25,100,100,0.49,0.49
R15_21,1,25,50,50,0.2,0.2
R15_23,4,76,100,50,0.6,0.3
R15_26,13,40,300,100,1.47,0.49
R15_3,142,495,850,85,3.53,0.353
R15_4_14,169,130,300,100,1.47,0.49
R15_4_7_10_12_14,1,137,50,50,0.2,0.2
R15_4_9_14,5,56,100,100,0.49,0.49
R15_43,2,22,150,75,0.59,0.295
R15_5,41,923,500,71.42857143,1.97,0.281428571
R15_5_7_14,39,16,100,100,0.49,0.49
R15_50,1,9,50,50,0.2,0.2
R15_6,25,1048,300,60,1.38,0.276
R15_6_13_14,87,9,100,100,0.49,0.49
R15_7,12,258,150,75,0.69,0.345
R16_1,421,1620,1150,67.64705882,4.83,0.284117647
R16_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15,1,702,50,50,0.3,0.3
R16_1_6_9_15,35,37,100,100,0.49,0.49
R16_11,8,265,100,50,0.59,0.295
R16_11_14_15,1,280,50,50,0.2,0.2
R16_12,29,631,350,70,1.38,0.276
R16_13,1,13,100,100,0.49,0.49
R16_14_15,2,116,100,50,0.4,0.2
R16_15,3514,28024,24300,83.50515464,110.45,0.379553265
R16_17,1,103,50,50,0.2,0.2
R16_18,1,6,100,100,0.49,0.49
R16_19,77,128,450,90,2.35,0.47
R16_21,1111,179,100,100,0.49,0.49
R16_22,10,887,500,50,2,0.2
R16_23,51,31,250,83.33333333,1.18,0.393333333
R16_24,1,1,100,100,0.49,0.49
R16_25,3,313,150,50,0.9,0.3
R16_26,3,26,100,100,0.49,0.49
R16_29,2,800,100,50,0.6,0.3
R16_3,194,407,500,83.33333333,1.96,0.326666667
R16_3_5_15,41,23,100,100,0.39,0.39
R16_4,49,40,100,100,0.49,0.49
R16_45,1112,149,150,75,0.69,0.345
R16_47,3,46,300,100,1.47,0.49
R16_5,37,102,300,100,1.17,0.39
R16_5_15,313,954,400,80,2.06,0.412
R16_6,20,938,150,75,0.78,0.39
R16_7,2,797,100,50,0.4,0.2
R16_7_15,27,13,900,100,3.51,0.39
R16_7_8,2,317,100,50,0.5,0.25
R16_8,3,45,50,50,0.2,0.2
R16_9_15,1,466,50,50,0.2,0.2
R17_1,41,1661,1050,61.76470588,4.89,0.287647059
R17_1_16,73,16,100,100,0.49,0.49
R17_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16,911,141,50,50,0.39,0.39
R17_11,8,305,250,62.5,1.19,0.2975
R17_14,9,5,100,100,0.49,0.49
R17_14_16,1144,929,450,90,2.16,0.432
R17_15_16,135,218,250,83.33333333,1.37,0.456666667
R17_16,3721,17627,18300,84.33179724,82.58,0.380552995
R17_18,3,8,300,100,1.47,0.49
R17_19,3,422,200,66.66666667,0.99,0.33
R17_2,1,8,50,50,0.2,0.2
R17_2_16,11,2762,50,50,0.39,0.39
R17_2_7_16,18,27,600,100,2.94,0.49
R17_20,703,1035,450,64.28571429,2.75,0.392857143
R17_21,222,2812,900,64.28571429,5.31,0.379285714
R17_26,2,33,100,100,0.49,0.49
R17_29,2,11,100,100,0.49,0.49
R17_3,75,50,100,100,0.39,0.39
R17_30,1,2,50,50,0.2,0.2
R17_39,1,3,100,100,0.39,0.39
R17_4,157,29,100,100,0.49,0.49
R17_46,1,3,100,100,0.49,0.49
R17_5,37,117,300,100,1.17,0.39
R17_5_9_11_16,1,182,50,50,0.2,0.2
R17_50,1,9,50,50,0.2,0.2
R17_51,1,5,100,100,0.39,0.39
R17_6,2,791,150,75,0.78,0.39
R17_7,2,796,100,50,0.4,0.2
R17_8,2,1368,100,50,0.78,0.39
R17_9_11_15_16,1,177,50,50,0.2,0.2
R18_1,1148,1600,800,66.66666667,3.11,0.259166667
R18_1_17,1,64,50,50,0.3,0.3
R18_1_2_3_4_5_6_7_8_9_11_13_15_17,971,31,100,100,0.39,0.39
R18_10,2,101,100,50,0.4,0.2
R18_10_17,2,40,200,100,0.98,0.49
R18_11,12,225,100,50,0.59,0.295
R18_11_17,3,308,50,50,0.3,0.3
R18_13_17,25,18,100,100,0.59,0.59
R18_14_15_17,1,18,50,50,0.2,0.2
R18_14_16_17,6,8,200,100,0.98,0.49
R18_15,1,260,50,50,0.2,0.2
R18_17,7365,19243,16150,82.39795918,74.04,0.377755102
R18_19,6,220,250,62.5,1.19,0.2975
R18_2,1,8,50,50,0.2,0.2
R18_2_5_8_17,33,33,100,100,0.49,0.49
R18_20,58,43,400,100,1.76,0.44
R18_21,10,656,500,50,2,0.2
R18_23,1036,1254,300,50,2.64,0.44
R18_24,7,301,50,50,0.39,0.39
R18_25,2,17,150,75,0.69,0.345
R18_26,2,41,100,100,0.49,0.49
R18_28,46,15,200,100,0.98,0.49
R18_29,4,813,200,66.66666667,1.09,0.363333333
R18_3,147,346,250,83.33333333,0.98,0.326666667
R18_40,1112,194,150,75,0.69,0.345
R18_45,1,711,100,100,0.39,0.39
R18_5,37,91,300,100,1.17,0.39
R18_6,21,1224,200,66.66666667,0.98,0.326666667
R18_6_17,1,9,100,100,0.49,0.49
R18_8,3,31,50,50,0.2,0.2
R18_8_14_17,1,17,100,100,0.49,0.49
R18_9,39,562,50,50,0.3,0.3
R19_1,37,1044,850,65.38461538,3.26,0.250769231
R19_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18,1,10,50,50,0.2,0.2
R19_10_18,1,68,100,100,0.49,0.49
R19_11,8,81,100,50,0.4,0.2
R19_12,1,29,50,50,0.2,0.2
R19_13,1,9,100,100,0.59,0.59
R19_15,1,255,50,50,0.2,0.2
R19_16,12,20,100,100,0.49,0.49
R19_17,2,45,100,50,0.4,0.2
R19_18,2202,10369,10050,77.90697674,45.71,0.354341085
R19_20,59,40,450,90,2.16,0.432
R19_21,199,2810,800,61.53846154,5.02,0.386153846
R19_23,55,46,700,100,2.93,0.418571429
R19_25,3,12,300,100,1.47,0.49
R19_26,3,31,100,100,0.49,0.49
R19_3,75,46,100,100,0.39,0.39
R19_30,1,1,50,50,0.2,0.2
R19_4_18,263,421,500,100,1.95,0.39
R19_4_7_11_15_18,5,5,100,100,0.49,0.49
R19_43,2,22,150,75,0.59,0.295
R19_47,3,47,300,100,1.47,0.49
R19_5,37,89,300,100,1.17,0.39
R19_5_8_18,3,24,100,100,0.49,0.49
R19_50,1,9,50,50,0.2,0.2
R19_6,21,820,200,66.66666667,0.98,0.326666667
R19_9,1,10,100,100,0.39,0.39
R2_1,196668,407204,802250,80.55527663,3494.03,0.35084145
R2_1_3,1,774,50,50,0.2,0.2
R2_1_4,1,5,100,100,0.39,0.39
R2_1_6,1,34,50,50,0.2,0.2
R2_1_Stg8,17,280,300,100,1.17,0.39
R2_10,12,191,350,87.5,1.47,0.3675
R2_11,60,3675,700,50,3.18,0.227142857
R2_12,6,472,500,83.33333333,2.46,0.41
R2_13,1,4,50,50,0.2,0.2
R2_14,4,27,200,100,0.98,0.49
R2_15,250,3111,650,81.25,3.43,0.42875
R2_16,6,28,200,100,0.98,0.49
R2_18,2,8,150,75,0.69,0.345
R2_20,10,80,150,75,0.69,0.345
R2_21,2,2,200,100,0.98,0.49
R2_24,3,356,150,50,0.6,0.2
R2_25,3,383,150,50,0.6,0.2
R2_26,31,68,250,83.33333333,1.18,0.393333333
R2_3,224,2342,3350,79.76190476,16.6,0.395238095
R2_3_6,103,189,50,50,0.39,0.39
R2_30,1,2,50,50,0.2,0.2
R2_4,263,1970,2650,75.71428571,12.89,0.368285714
R2_43,2,23,150,75,0.59,0.295
R2_45,1,14,100,100,0.39,0.39
R2_5,219,1739,4050,67.5,19.07,0.317833333
R2_6,31,553,1200,70.58823529,5.53,0.325294118
R2_7,31,2573,950,73.07692308,4.53,0.348461538
R2_8,155,4019,1750,64.81481481,8.39,0.310740741
R2_9,440,1220,1050,87.5,5.19,0.4325
R20_1,38,1116,800,66.66666667,3.11,0.259166667
R20_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_19,1,26,100,100,0.49,0.49
R20_11,4,6,400,100,1.56,0.39
R20_17,9,51,100,100,0.49,0.49
R20_18,4,148,250,62.5,1.19,0.2975
R20_19,9393,32724,13100,78.44311377,63.4,0.379640719
R20_2_19,15,77,300,100,1.47,0.49
R20_22,1,16,50,50,0.2,0.2
R20_24,4,399,150,75,0.88,0.44
R20_26,3,27,100,100,0.49,0.49
R20_29,2,10,100,100,0.49,0.49
R20_3,147,345,250,83.33333333,1.08,0.36
R20_30,1,1,50,50,0.2,0.2
R20_38,1,4,100,100,0.49,0.49
R20_4,49,40,100,100,0.49,0.49
R20_45,1112,151,150,75,0.69,0.345
R20_5,37,97,300,100,1.17,0.39
R20_6,1,23,100,100,0.39,0.39
R20_8,5,1022,150,50,0.98,0.326666667
R20_9_12_19,1,8,100,100,0.49,0.49
R21_1,35,750,750,68.18181818,2.86,0.26
R21_1_6_7_8_10_16_19_20,11,739,50,50,0.39,0.39
R21_10,2,16,100,50,0.4,0.2
R21_11,3,80,50,50,0.2,0.2
R21_16,52,36,400,100,1.56,0.39
R21_17_18_20,1,67,50,50,0.2,0.2
R21_18,44,441,300,75,1.28,0.32
R21_18_20,1227,292,250,83.33333333,1.18,0.393333333
R21_20,3104,39313,9750,76.171875,44.73,0.349453125
R21_22,1,1,50,50,0.2,0.2
R21_26,2,29,100,100,0.49,0.49
R21_29,2,3,200,100,0.98,0.49
R21_3,1,17,50,50,0.2,0.2
R21_46,1,3,100,100,0.49,0.49
R21_5,37,88,300,100,1.17,0.39
R21_50,1,8,50,50,0.2,0.2
R21_6,2,744,150,75,0.69,0.345
R21_7_20,50,76,200,100,0.78,0.39
R22_1,1143,693,550,78.57142857,2.11,0.301428571
R22_11_14_17_21,2,789,100,50,0.4,0.2
R22_11_18_21,1,13,100,100,0.49,0.49
R22_15,1,19,100,100,0.49,0.49
R22_19_21,2,289,100,50,0.6,0.3
R22_2,1,12,100,100,0.59,0.59
R22_21,1206,13533,7300,72.27722772,36.79,0.364257426
R22_23,2,7,150,75,0.69,0.345
R22_24,5,405,250,83.33333333,1.37,0.456666667
R22_25,1,5,100,100,0.49,0.49
R22_26,1,47,100,100,0.49,0.49
R22_27,34,66,200,100,0.98,0.49
R22_28,34,11,200,100,0.98,0.49
R22_29,2,11,100,100,0.49,0.49
R22_3,73,306,250,83.33333333,0.98,0.326666667
R22_30,1,1,50,50,0.2,0.2
R22_31,1,43,50,50,0.2,0.2
R22_39,6,42,100,100,0.49,0.49
R22_40,1112,194,150,75,0.69,0.345
R22_45,1,813,100,100,0.39,0.39
R22_47,52,96,300,100,1.47,0.49
R22_5,39,143,400,80,1.57,0.314
R22_51,2,6,200,100,0.98,0.49
R22_6,1,23,100,100,0.39,0.39
R22_7,1,1348,50,50,0.2,0.2
R22_9,3,89,50,50,0.2,0.2
R23_1,31,216,550,78.57142857,2.06,0.294285714
R23_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_1,1,16,50,50,0.2,0.2
R23_1_3_4_5_7_9_10_12_13_15_19_22,1,98,50,50,0.2,0.2
R23_17,1111,258,100,100,0.49,0.49
R23_22,1177,13718,6450,76.78571429,31.4,0.373809524
R23_24,1,57,100,100,0.54,0.54
R23_25,1,7,100,100,0.49,0.49
R23_26,3,34,100,100,0.49,0.49
R23_30,41,25,450,90,2.16,0.432
R23_39,6,48,100,100,0.49,0.49
R23_4_22,5,10,100,100,0.49,0.49
R23_43,2,24,150,75,0.59,0.295
R23_5,37,108,300,100,1.17,0.39
R23_5_22,14,2815,200,50,1.2,0.3
R23_50,1,8,50,50,0.2,0.2
R23_6,29,967,200,66.66666667,0.98,0.326666667
R23_7,1,1348,50,50,0.2,0.2
R23_7_22,25,12,100,100,0.39,0.39
R23_8,2,1011,100,50,0.78,0.39
R24_1,30,91,350,87.5,1.33,0.3325
R24_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_1,1,26,50,50,0.2,0.2
R24_10,1,25,100,100,0.49,0.49
R24_17_23,10,2488,500,50,2,0.2
R24_2_23,1,14,100,100,0.49,0.49
R24_22_23,75,24,300,100,1.37,0.456666667
R24_23,1395,10019,5200,74.28571429,25.68,0.366857143
R24_26,3,32,100,100,0.49,0.49
R24_3,72,35,150,75,0.59,0.295
R24_30,3,7,50,50,0.2,0.2
R24_31,23,485,100,100,0.49,0.49
R24_39,6,47,100,100,0.49,0.49
R24_40,3,23,300,100,1.47,0.49
R24_45,1112,152,150,75,0.69,0.345
R24_5,6,7,100,100,0.39,0.39
R24_6,28,921,150,75,0.78,0.39
R24_7,1,11,50,50,0.2,0.2
R24_9,1,1513,50,50,0.2,0.2
R25_1,27,27,300,100,1.17,0.39
R25_1_5_8_13_24,10,2637,500,50,2,0.2
R25_12,1,7,100,100,0.59,0.59
R25_15,1,1258,50,50,0.2,0.2
R25_17,1118,533,150,75,0.88,0.44
R25_22_24,1124,232,150,75,0.69,0.345
R25_23,5,103,50,50,0.2,0.2
R25_24,1111,4800,4350,82.0754717,19.89,0.375283019
R25_26,1,46,100,100,0.49,0.49
R25_27,32,87,300,100,1.47,0.49
R25_29,3,59,250,83.33333333,1.28,0.426666667
R25_3,1,3,100,100,0.39,0.39
R25_3_8_10_16_21_22_24,3,240,50,50,0.2,0.2
R25_39,3,106,100,100,0.49,0.49
R25_4,1,26,50,50,0.2,0.2
R25_45,1,20,100,100,0.39,0.39
R25_47,3,59,300,100,1.47,0.49
R25_50,1,8,50,50,0.2,0.2
R25_6,2,811,150,75,0.78,0.39
R25_7_24,50,23,200,100,0.78,0.39
R25_9,1,168,50,50,0.2,0.2
R26_1,1115,525,250,83.33333333,1.04,0.346666667
R26_10,2,261,100,50,0.4,0.2
R26_17,35,43,100,100,0.49,0.49
R26_20,1,75,50,50,0.2,0.2
R26_23,16,110,150,75,0.69,0.345
R26_24_25,2,10,200,100,0.78,0.39
R26_25,911,5647,3400,72.34042553,16.02,0.340851064
R26_27,5,24,250,83.33333333,1.18,0.393333333
R26_3,71,32,100,100,0.39,0.39
R26_3_12_15_25,2,711,150,75,0.59,0.295
R26_30,4,8,100,50,0.4,0.2
R26_31,1,34,50,50,0.3,0.3
R26_38,2,32,150,75,0.59,0.295
R26_39,3,74,100,100,0.49,0.49
R26_5,6,6,100,100,0.39,0.39
R26_51,2,6,200,100,0.98,0.49
R26_6,28,1320,150,75,0.78,0.39
R27_1,2,8,200,100,0.78,0.39
R27_10,2,379,100,50,0.4,0.2
R27_17,1111,258,100,100,0.49,0.49
R27_18,2,139,150,75,0.59,0.295
R27_19_23_26,9,5,100,100,0.49,0.49
R27_23,6,1299,100,50,0.4,0.2
R27_25_26,46,58,200,100,0.98,0.49
R27_26,880,4538,3450,78.40909091,16.84,0.382727273
R27_30,3,8,250,83.33333333,1.18,0.393333333
R27_33,2,111,150,75,0.69,0.345
R27_36,1,16,50,50,0.2,0.2
R27_39,3,70,100,100,0.49,0.49
R27_50,1,8,50,50,0.2,0.2
R27_6,28,849,150,75,0.78,0.39
R28_1,4,67,150,75,0.54,0.27
R28_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_1,1,44,50,50,0.3,0.3
R28_11,1,13,100,100,0.59,0.59
R28_15_16_17_18_19_20_21_22_23_24_25_27,1,319,100,100,0.39,0.39
R28_20,1,31,50,50,0.2,0.2
R28_20_27,1112,436,400,100,1.96,0.49
R28_22,2,58,100,50,0.4,0.2
R28_23,6,1238,100,50,0.4,0.2
R28_25_26_27,1,1,100,100,0.39,0.39
R28_26_27,1,3,100,100,0.39,0.39
R28_27,240,9135,2700,71.05263158,13.16,0.346315789
R28_29,1,4,100,100,0.39,0.39
R28_3,72,34,150,75,0.59,0.295
R28_30,3,7,50,50,0.2,0.2
R28_31,1,44,50,50,0.2,0.2
R28_35,1,15,50,50,0.2,0.2
R28_39,6,48,100,100,0.49,0.49
R28_47,3,27,300,100,1.47,0.49
R28_6,1,17,100,100,0.39,0.39
R28_83,6,61,200,100,0.98,0.49
R28_9_27,25,104,500,100,2.45,0.49
R29_1,2,9,200,100,0.78,0.39
R29_17,1111,256,100,100,0.49,0.49
R29_20_23_28,3,391,300,100,1.47,0.49
R29_23,5,103,50,50,0.2,0.2
R29_28,169,6768,2450,76.5625,11.72,0.36625
R29_30,2,6,150,75,0.69,0.345
R29_39,6,50,100,100,0.49,0.49
R29_40,10,42,100,100,0.49,0.49
R29_44,1,925,50,50,0.2,0.2
R29_45,1,438,100,100,0.39,0.39
R29_50,1,8,50,50,0.2,0.2
R29_6,2,770,150,75,0.78,0.39
R29_8_28,5,191,500,100,2.45,0.49
R3_1,1234,8952,8700,75,36.36,0.313448276
R3_1_2,14719,15642,12000,71.85628743,59.95,0.358982036
R3_1_2_11,37,32,100,100,0.49,0.49
R3_10,1119,188,450,90,2.26,0.452
R3_11,331,2973,750,75,3.64,0.364
R3_12,56,170,850,85,3.93,0.393
R3_14,845,988,1000,76.92307692,4.63,0.356153846
R3_15,83,49,200,100,0.98,0.49
R3_16,1,3,100,100,0.39,0.39
R3_17,1,5,50,50,0.2,0.2
R3_18,2,7,150,75,0.69,0.345
R3_19,10,1103,500,50,2,0.2
R3_2,43217,254313,306300,80.58405683,1312.31,0.345253881
R3_2_6,1,24,50,50,0.2,0.2
R3_21,1111,177,100,100,0.49,0.49
R3_24,5,28,500,100,2.45,0.49
R3_25,1,1,50,50,0.2,0.2
R3_30,2,379,100,50,0.4,0.2
R3_31,1,44,50,50,0.2,0.2
R3_39,2,90,200,100,0.98,0.49
R3_4,97,5664,3350,65.68627451,15.12,0.296470588
R3_47,249,39,300,100,1.47,0.49
R3_5,381,1011,3400,80.95238095,16.13,0.384047619
R3_5_6_7,3,2,100,100,0.49,0.49
R3_50,1,8,50,50,0.2,0.2
R3_6,137,801,1000,76.92307692,4.82,0.370769231
R3_6_7,3,8,100,100,0.49,0.49
R3_7,451,2632,4250,69.67213115,19.62,0.321639344
R3_8,1866,4247,1600,61.53846154,7.37,0.283461538
R3_8_10,1,462,50,50,0.2,0.2
R3_9,235,950,1350,71.05263158,6.02,0.316842105
R3_9_11_13,2,212,150,75,0.69,0.345
R30_1,1112,535,200,100,0.88,0.44
R30_23,5,103,50,50,0.2,0.2
R30_23_25_27_29,1111,277,100,100,0.39,0.39
R30_29,1716,3572,3150,82.89473684,14.83,0.390263158
R30_3,72,31,200,100,0.78,0.39
R30_33,1,1285,50,50,0.2,0.2
R30_34,5,107,350,70,1.58,0.316
R30_36,1,14,50,50,0.2,0.2
R30_39,6,44,100,100,0.49,0.49
R30_40,9,39,100,100,0.49,0.49
